"state_name","latitude","longitude","delay_time"
"Alabama",33.3680922573683,-86.6011134132552,148
"Alabama",32.6496831591492,-86.5034292168259,2
"Alabama",32.671851538659,-87.0387725800085,18
"Alabama",33.4147719920864,-86.4193088545273,17
"Alabama",33.331126546326,-86.9422933617882,11
"Alabama",33.563646877489,-86.7296222404386,136
"Alabama",32.7089477510442,-86.6108774193837,4
"Alabama",33.1285568488081,-86.6602491191863,175
"Alabama",32.6798507679039,-87.2835396912689,49
"Alabama",32.9764398514078,-87.1766235004454,20
"Alabama",33.3116644575046,-86.4171634235229,9
"Alabama",33.4896186288231,-86.4601827264107,1
"Alabama",33.4339534242888,-87.0774070895552,29
"Alabama",33.2554433414032,-86.6919969348512,3
"Alabama",32.7314295492386,-86.5997062868248,37
"Alabama",33.541763121101,-86.4464727412253,22
"Alabama",33.5432222116058,-87.2192170610926,79
"Alabama",33.5446290060197,-86.9859858802795,137
"Alabama",33.567938814477,-86.5020451082657,9
"Alabama",32.7587843880308,-86.4937016864116,96
"Alabama",33.2424151390576,-87.161457629669,22
"Alabama",32.9301710001444,-86.8444119345206,4
"Alabama",32.777302038229,-87.232430991977,21
"Alabama",33.552132456635,-86.6655038413867,12
"Alabama",33.1522625776258,-86.6072829896859,14
"Alabama",32.6666391397146,-87.3586369913812,32
"Alabama",32.8343597939954,-87.2046701286729,6
"Alabama",32.8348482077261,-86.4341371995672,13
"Alabama",33.120691247356,-87.0080576637103,26
"Alabama",33.111485294138,-86.4957196500893,8
"Alabama",33.5624871615571,-86.5349407978631,29
"Alabama",32.8048145017372,-86.8887464432321,143
"Alabama",32.7700808265497,-87.2737644727151,301
"Alabama",32.943220764703,-87.2183666290059,29
"Alabama",32.6290223450185,-87.3151656980901,55
"Alabama",33.5296127897007,-86.5268374115969,63
"Alabama",33.1123108492018,-86.9938989552013,5
"Alabama",33.0988264417526,-86.4286858579419,70
"Alabama",33.3245113886212,-86.548761999262,92
"Alabama",33.008554869403,-86.8540951807792,34
"Alabama",32.8167682123155,-86.4015788534,97
"Alabama",32.8567432508123,-87.1080620722189,12
"Alabama",32.5830111699895,-86.680757280001,2
"Alabama",33.0742891554971,-87.0847642736319,9
"Alabama",32.6454066276335,-87.3610336450203,13
"Alabama",32.8969006995455,-87.2337153803366,2
"Alabama",33.1918416955293,-86.7003412242322,21
"Alabama",32.7628133099777,-86.6792097315467,6
"Alabama",33.4215931643983,-86.6229655400659,39
"Alabama",32.583008713859,-86.9766136615346,52
"Alabama",33.2504314059177,-87.0247256772402,497
"Alabama",32.95901204094,-86.5066800047918,24
"Alabama",33.2362797845406,-86.4941318428884,4
"Alabama",33.4126260777255,-86.4244658651571,10
"Alabama",32.8090287727089,-86.7820251481882,81
"Alabama",32.6748228667555,-86.7425525274868,5
"Alabama",32.8124231352256,-87.2963416946861,3
"Alabama",32.7808411331632,-87.1859279084294,923
"Alabama",33.1081854778593,-86.8901924451622,102
"Alabama",33.4674976995,-86.7581496695331,20
"Alabama",33.4107430068095,-86.7988268258325,23
"Alabama",32.7252289185551,-86.7563938675723,21
"Alabama",32.6972336222668,-86.9011631801534,289
"Alabama",33.5025420757727,-86.4818107204321,16
"Alabama",33.3163851004345,-86.9661653060741,33
"Alaska",64.6543002972637,-148.022989015944,10
"Alaska",64.715825773196,-148.204143679386,5
"Alaska",64.5816974748184,-148.498806844383,33
"Alaska",63.9884307893251,-148.508551179815,27
"Alaska",64.5075109080669,-147.912583045114,1
"Alaska",64.1871715887708,-148.283394578064,19
"Alaska",64.6272742023018,-148.086277275497,3
"Alaska",64.7070711347067,-147.866414549213,8
"Alaska",64.3445350920108,-148.054924400208,13
"Alaska",64.281574332507,-147.862255521968,4
"Alaska",63.9932647353296,-148.513467316666,3
"Alaska",64.3774548514073,-148.274314300308,1
"Alaska",63.8648139623717,-148.651945893338,10
"Alaska",63.9601966658399,-148.83745290517,28
"Alaska",64.0624482795854,-148.83697637954,8
"Alaska",63.8174810028893,-148.332816651475,27
"Alaska",64.2025560421196,-148.531591055367,22
"Alaska",64.5245631822643,-148.700077821884,62
"Alaska",63.92394978076,-148.007481728831,4
"Alaska",64.6944909008478,-148.758508160395,282
"Alaska",64.4701185493057,-148.013501697371,4
"Alaska",64.2866909696047,-148.80593639441,16
"Alaska",63.7922881521542,-148.299320130061,122
"Alaska",64.7214194139258,-147.871440447086,1
"Alaska",63.8680232992654,-148.054746202577,4
"Alaska",64.1757747851104,-148.556528640829,8
"Alaska",64.4620592816525,-147.935876165202,12
"Alaska",64.2299270600804,-148.168872988701,29
"Alaska",64.267938816806,-148.225111684214,16
"Alaska",63.8974941383374,-148.759175638586,15
"Alaska",64.3055437851024,-148.049892055953,1
"Alaska",63.8088110318665,-148.497576629894,7
"Alaska",64.7391758522742,-148.297214502852,5
"Alaska",64.5264745733027,-148.11643878828,32
"Alaska",64.4267663419039,-148.703208439436,9
"Alaska",63.8046786048242,-147.977057607297,29
"Alaska",63.8633430063517,-148.456190911738,3
"Alaska",64.2716154196557,-148.053659248084,12
"Alaska",64.4360566831917,-148.50201468697,15
"Alaska",64.5309735584331,-148.585929301951,6
"Alaska",63.8387853658085,-148.255537994822,128
"Alaska",64.7430493593008,-147.879855243174,34
"Alaska",64.5766213129998,-147.909546992659,14
"Alaska",64.1728954714515,-147.99804631985,4
"Alaska",64.2796308813874,-148.387176466558,18
"Alaska",63.8756996471227,-148.283498108538,22
"Alaska",64.3759409735237,-148.637947668239,123
"Alaska",64.1312612436038,-148.805905969731,1
"Alaska",64.3230106547733,-148.648604279302,2
"Alaska",64.661174301177,-148.577825024642,4
"Alaska",64.6853566219822,-148.056902271148,7
"Alaska",64.6789072753188,-148.660497530281,10
"Alaska",64.2764477186163,-148.690213319065,10
"Alaska",64.3844024521557,-148.432040663121,8
"Alaska",64.4393781287388,-147.951521315064,6
"Alaska",64.3048594893214,-148.018627473071,8
"Alaska",64.0530767258049,-148.465438334888,26
"Alaska",64.7097497120292,-148.464905594393,3
"Alaska",63.960229108229,-148.540733854903,6
"Alaska",64.020057927936,-148.173835126834,10
"Alaska",64.7733058949259,-147.883802520262,20
"Alaska",64.2061834769581,-147.935381526744,34
"Alaska",64.2489533753858,-148.806380650645,24
"Alaska",64.3415602500343,-148.842259183444,22
"Alaska",64.7088097519033,-148.106095243629,4
"Alaska",64.7234692828522,-148.693695637781,13
"Alaska",64.4189560996626,-148.173697789583,22
"Alaska",63.978276349723,-148.039549449842,46
"Alaska",64.0913759846032,-148.595866415568,1
"Alaska",64.2790432452482,-148.842146531131,1
"Alaska",64.2302609834612,-148.565779824193,11
"Alaska",64.3492917745632,-148.534979447175,23
"Alaska",64.740898476334,-148.628454912139,14
"Alaska",64.6828205428344,-148.834134100156,18
"Alaska",63.9278097423983,-148.324024665786,11
"Alaska",64.094653166251,-147.928698578302,13
"Alaska",64.2385566084438,-148.517868963221,11
"Alaska",63.9284110454635,-148.268688294023,3
"Alaska",64.0072087760807,-147.909873118076,25
"Alaska",63.9866551313341,-148.318733308615,66
"Alaska",64.3988826599696,-147.883329633774,13
"Alaska",64.6689379933548,-148.838931276614,3
